15	11	E	-1.0139728251552261E7	134
probinit	1	1.120185576837413E-252
probinit	2	0.959999889894611
probinit	3	2.2745270306777942E-82
probinit	4	1.98072547077205E-162
probinit	5	0.04000011010538892
probinit	6	0.0
probinit	7	0.0
probinit	8	2.1862906946583624E-281
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	4.6775458070041495E-271
probinit	15	0.0
transitionprobs	1	1	0.6152286945450585
transitionprobs	1	2	0.03920920349471097
transitionprobs	1	3	0.2482929036879183
transitionprobs	1	4	0.06051082355529925
transitionprobs	1	5	4.6527902355441344E-4
transitionprobs	1	6	0.0029940442164951477
transitionprobs	1	7	0.0014124056042530764
transitionprobs	1	8	0.008988324587609666
transitionprobs	1	9	6.625317438187963E-5
transitionprobs	1	10	0.0
transitionprobs	1	11	0.01408663116517854
transitionprobs	1	12	1.3008057833646842E-4
transitionprobs	1	13	0.0018961166750714482
transitionprobs	1	14	0.0060218433810320365
transitionprobs	1	15	6.973963111003092E-4
transitionprobs	2	1	7.418256991971445E-4
transitionprobs	2	2	0.9969032130437047
transitionprobs	2	3	0.001543522724634319
transitionprobs	2	4	3.4361421009643293E-4
transitionprobs	2	5	2.6363082484584614E-5
transitionprobs	2	6	4.54981831347018E-5
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	7.644959170020068E-5
transitionprobs	2	12	3.871466328016121E-6
transitionprobs	2	13	0.0
transitionprobs	2	14	3.1564199871989375E-4
transitionprobs	2	15	0.0
transitionprobs	3	1	0.005145349425486522
transitionprobs	3	2	0.001664778568398048
transitionprobs	3	3	0.9898552123939061
transitionprobs	3	4	6.890414882523214E-4
transitionprobs	3	5	1.0637966707774279E-6
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	4.974136016167614E-4
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	6.192241297422924E-4
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0015279165959271874
transitionprobs	3	15	0.0
transitionprobs	4	1	0.0034724762941709363
transitionprobs	4	2	9.826736126126191E-4
transitionprobs	4	3	0.0020343863785713874
transitionprobs	4	4	0.9613265783254806
transitionprobs	4	5	0.0010723540595698581
transitionprobs	4	6	0.012732162313002822
transitionprobs	4	7	0.0
transitionprobs	4	8	0.001821611741073067
transitionprobs	4	9	4.274469586357156E-5
transitionprobs	4	10	0.0
transitionprobs	4	11	8.733627619031328E-4
transitionprobs	4	12	6.277588617288008E-5
transitionprobs	4	13	0.0
transitionprobs	4	14	0.015578873931579107
transitionprobs	4	15	0.0
transitionprobs	5	1	0.002914692713296219
transitionprobs	5	2	0.009618570728741272
transitionprobs	5	3	0.0
transitionprobs	5	4	0.1252513684228799
transitionprobs	5	5	0.8396681265935366
transitionprobs	5	6	0.003147767899098832
transitionprobs	5	7	0.0012848660700677844
transitionprobs	5	8	0.002852841015005961
transitionprobs	5	9	3.6001802911928525E-4
transitionprobs	5	10	2.8721575800815317E-5
transitionprobs	5	11	3.869568329335761E-4
transitionprobs	5	12	0.001243866133401334
transitionprobs	5	13	0.0013791562052629831
transitionprobs	5	14	0.010372599554963917
transitionprobs	5	15	0.0014904482258914413
transitionprobs	6	1	3.6259101364807285E-4
transitionprobs	6	2	3.1380577624876563E-4
transitionprobs	6	3	0.0
transitionprobs	6	4	0.02708719029415487
transitionprobs	6	5	6.319093018449107E-5
transitionprobs	6	6	0.94990283239425
transitionprobs	6	7	0.017161092710615503
transitionprobs	6	8	7.857137027949708E-5
transitionprobs	6	9	0.0019055159386977302
transitionprobs	6	10	1.9499209134379022E-5
transitionprobs	6	11	0.0
transitionprobs	6	12	8.40857179081992E-6
transitionprobs	6	13	0.0
transitionprobs	6	14	2.111138520538999E-6
transitionprobs	6	15	0.0030951906524752364
transitionprobs	7	1	8.27028569670172E-4
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0
transitionprobs	7	5	7.207300505944247E-5
transitionprobs	7	6	0.07612966056074912
transitionprobs	7	7	0.8574244082929839
transitionprobs	7	8	0.06115484044226864
transitionprobs	7	9	0.0
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0
transitionprobs	7	12	0.0
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	0.00439198912926864
transitionprobs	8	1	0.002406702597098971
transitionprobs	8	2	0.0
transitionprobs	8	3	0.0064569326342915736
transitionprobs	8	4	0.009045570983068213
transitionprobs	8	5	9.204801208609711E-5
transitionprobs	8	6	3.8817867303770937E-4
transitionprobs	8	7	0.030578363687976805
transitionprobs	8	8	0.9309660873897403
transitionprobs	8	9	0.017698444595036448
transitionprobs	8	10	3.4431749796647225E-5
transitionprobs	8	11	0.0
transitionprobs	8	12	0.0
transitionprobs	8	13	0.0
transitionprobs	8	14	0.0
transitionprobs	8	15	0.0023332396778672094
transitionprobs	9	1	7.68977926567365E-5
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0
transitionprobs	9	4	9.70747577245629E-4
transitionprobs	9	5	1.632061523132934E-5
transitionprobs	9	6	0.021048562937975263
transitionprobs	9	7	0.0
transitionprobs	9	8	0.08052835156221441
transitionprobs	9	9	0.8085238424871612
transitionprobs	9	10	0.0666864370616305
transitionprobs	9	11	0.012656749740530583
transitionprobs	9	12	0.0
transitionprobs	9	13	0.0
transitionprobs	9	14	0.00455160337361972
transitionprobs	9	15	0.004940486851734508
transitionprobs	10	1	0.0
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	3.3031331626663856E-5
transitionprobs	10	6	4.894387488338841E-4
transitionprobs	10	7	0.0
transitionprobs	10	8	4.932018007856273E-4
transitionprobs	10	9	0.09221879951283203
transitionprobs	10	10	0.827797824590729
transitionprobs	10	11	0.006745654140000091
transitionprobs	10	12	0.05956329072342909
transitionprobs	10	13	0.00312694882269213
transitionprobs	10	14	0.0
transitionprobs	10	15	0.009531810329071553
transitionprobs	11	1	0.02355225134690908
transitionprobs	11	2	0.0074467347219857784
transitionprobs	11	3	0.04721067090006491
transitionprobs	11	4	0.02576944547472026
transitionprobs	11	5	3.8273464821978275E-5
transitionprobs	11	6	1.3800382186271081E-5
transitionprobs	11	7	0.0
transitionprobs	11	8	0.0
transitionprobs	11	9	0.015441278031394785
transitionprobs	11	10	0.007560821533671354
transitionprobs	11	11	0.6325020198611314
transitionprobs	11	12	0.15079690306752755
transitionprobs	11	13	0.0
transitionprobs	11	14	0.08966780121558655
transitionprobs	11	15	0.0
transitionprobs	12	1	2.291955683462524E-4
transitionprobs	12	2	1.5152227267018796E-4
transitionprobs	12	3	0.0
transitionprobs	12	4	8.793849707040748E-4
transitionprobs	12	5	7.278968482474715E-5
transitionprobs	12	6	3.363208794638093E-5
transitionprobs	12	7	7.717323831661623E-6
transitionprobs	12	8	0.0
transitionprobs	12	9	0.0
transitionprobs	12	10	0.033677014349727794
transitionprobs	12	11	0.07596366579710333
transitionprobs	12	12	0.8430966191660624
transitionprobs	12	13	0.04080104218721287
transitionprobs	12	14	0.005087416591570281
transitionprobs	12	15	0.0
transitionprobs	13	1	0.002134254344270189
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	3.6221161461230124E-4
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.002348291278244298
transitionprobs	13	11	0.0
transitionprobs	13	12	0.051599056393927596
transitionprobs	13	13	0.792858715495693
transitionprobs	13	14	0.1427731243523016
transitionprobs	13	15	0.007924346520951099
transitionprobs	14	1	0.0030011371148420344
transitionprobs	14	2	0.0087563561867169
transitionprobs	14	3	0.03555533628345239
transitionprobs	14	4	0.13067250835569655
transitionprobs	14	5	6.917816187097518E-4
transitionprobs	14	6	2.113711393222172E-4
transitionprobs	14	7	0.0
transitionprobs	14	8	6.768726940704743E-4
transitionprobs	14	9	0.0016679966648516739
transitionprobs	14	10	0.0
transitionprobs	14	11	0.026759453961764185
transitionprobs	14	12	0.0029384223543225804
transitionprobs	14	13	0.0625087793515078
transitionprobs	14	14	0.7210901918398669
transitionprobs	14	15	0.005469792434876411
transitionprobs	15	1	0.0010435148934189512
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.00688093403667905
transitionprobs	15	5	4.7891410725661547E-4
transitionprobs	15	6	0.04833208702908731
transitionprobs	15	7	0.017318704283358834
transitionprobs	15	8	0.016172478571962905
transitionprobs	15	9	0.007822833595763103
transitionprobs	15	10	0.011490640188057677
transitionprobs	15	11	3.1534432249505584E-6
transitionprobs	15	12	0.0
