15	11	E	-1.02790835634026E7	153
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	3.692594012381458E-305
probinit	9	1.0916657885866511E-242
probinit	10	0.9599999979234676
probinit	11	9.237681620081071E-288
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0400000020765324
probinit	15	1.6280195190623996E-44
transitionprobs	1	1	0.8051277308508441
transitionprobs	1	2	0.11258179123882057
transitionprobs	1	3	0.04357920762007504
transitionprobs	1	4	0.03743497418883923
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	1.8069844786297937E-4
transitionprobs	1	8	7.05823893562528E-4
transitionprobs	1	9	1.5748727570455258E-6
transitionprobs	1	10	1.9292662591092826E-4
transitionprobs	1	11	0.0
transitionprobs	1	12	1.0794978697605658E-4
transitionprobs	1	13	0.0
transitionprobs	1	14	8.732247435149418E-5
transitionprobs	1	15	0.0
transitionprobs	2	1	0.08674322020795672
transitionprobs	2	2	0.6981148840932144
transitionprobs	2	3	0.08931995678735827
transitionprobs	2	4	0.014787507396072883
transitionprobs	2	5	4.0128130380099735E-5
transitionprobs	2	6	0.08812743810101635
transitionprobs	2	7	0.017362375023743184
transitionprobs	2	8	0.00308697362505411
transitionprobs	2	9	7.292493573484562E-4
transitionprobs	2	10	6.328010191053173E-4
transitionprobs	2	11	6.893275085733533E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	1.836215035726248E-4
transitionprobs	2	15	1.825172466042227E-4
transitionprobs	3	1	0.04679191913710931
transitionprobs	3	2	0.12061618855601844
transitionprobs	3	3	0.5958999641836317
transitionprobs	3	4	0.017275097713311822
transitionprobs	3	5	0.006862432018716137
transitionprobs	3	6	0.0
transitionprobs	3	7	0.04808034338217525
transitionprobs	3	8	0.023357145829972042
transitionprobs	3	9	0.027249863564519344
transitionprobs	3	10	0.021300246427864367
transitionprobs	3	11	0.032910000902943604
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0011980130777819046
transitionprobs	3	14	1.0422828302851094E-4
transitionprobs	3	15	0.058354556922927445
transitionprobs	4	1	0.048137432128656385
transitionprobs	4	2	0.026388384734602865
transitionprobs	4	3	0.021242378826350418
transitionprobs	4	4	0.7894768043026039
transitionprobs	4	5	0.10666983327135818
transitionprobs	4	6	0.008048699013119527
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	3.646772330874093E-5
transitionprobs	4	15	0.0
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.005316949354158725
transitionprobs	5	4	0.05534540266390191
transitionprobs	5	5	0.8034739794234649
transitionprobs	5	6	0.00541158258792727
transitionprobs	5	7	0.017757549547958135
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	0.05286688644498502
transitionprobs	5	12	0.0413302184985272
transitionprobs	5	13	0.018395321366876435
transitionprobs	5	14	1.0211011220055247E-4
transitionprobs	5	15	0.0
transitionprobs	6	1	0.0
transitionprobs	6	2	0.07442629871710305
transitionprobs	6	3	0.0
transitionprobs	6	4	0.0036403865723373973
transitionprobs	6	5	0.004961757503155199
transitionprobs	6	6	0.7189893351594632
transitionprobs	6	7	0.1940770551906864
transitionprobs	6	8	0.0029450300748017836
transitionprobs	6	9	7.696062266540895E-4
transitionprobs	6	10	0.0
transitionprobs	6	11	8.121201447961169E-8
transitionprobs	6	12	0.0
transitionprobs	6	13	0.0
transitionprobs	6	14	1.9044934378456714E-4
transitionprobs	6	15	0.0
transitionprobs	7	1	0.0
transitionprobs	7	2	0.005793614675378305
transitionprobs	7	3	0.010709655149031725
transitionprobs	7	4	0.0
transitionprobs	7	5	0.006494113162312961
transitionprobs	7	6	0.07407770981158515
transitionprobs	7	7	0.7302485742012483
transitionprobs	7	8	0.12867864800679954
transitionprobs	7	9	0.002603974389096332
transitionprobs	7	10	0.01192494451487371
transitionprobs	7	11	0.0178373043813119
transitionprobs	7	12	0.0
transitionprobs	7	13	1.452892049284096E-4
transitionprobs	7	14	0.007702150464926767
transitionprobs	7	15	0.003784022038506902
transitionprobs	8	1	3.459953902772316E-5
transitionprobs	8	2	1.6134221920564924E-4
transitionprobs	8	3	8.232479919521898E-4
transitionprobs	8	4	0.0
transitionprobs	8	5	0.0
transitionprobs	8	6	1.7516316533514492E-4
transitionprobs	8	7	0.019684225257742133
transitionprobs	8	8	0.9741989999081488
transitionprobs	8	9	0.0035061490512982604
transitionprobs	8	10	2.745259397692293E-4
transitionprobs	8	11	3.889566357687055E-4
transitionprobs	8	12	0.0
transitionprobs	8	13	0.0
transitionprobs	8	14	1.0808407549004502E-4
transitionprobs	8	15	6.447062162620299E-4
transitionprobs	9	1	2.079527478314086E-6
transitionprobs	9	2	3.7031403620898227E-4
transitionprobs	9	3	0.008262320238525035
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0
transitionprobs	9	6	3.728285295246067E-4
transitionprobs	9	7	0.0036223776189512405
transitionprobs	9	8	0.030209563065256975
transitionprobs	9	9	0.5908231489247443
transitionprobs	9	10	0.2543083335045937
transitionprobs	9	11	0.00867703814309329
transitionprobs	9	12	0.0
transitionprobs	9	13	6.714045750456336E-4
transitionprobs	9	14	1.9192990594612072E-4
transitionprobs	9	15	0.10248866193063184
transitionprobs	10	1	2.611375855529712E-6
transitionprobs	10	2	1.0344879094500334E-5
transitionprobs	10	3	1.4736672762775962E-4
transitionprobs	10	4	0.0
transitionprobs	10	5	0.0
transitionprobs	10	6	0.0
transitionprobs	10	7	3.485645367880392E-4
transitionprobs	10	8	7.264187304039994E-5
transitionprobs	10	9	0.005747315197941108
transitionprobs	10	10	0.9911742606801963
transitionprobs	10	11	3.5075523306758987E-4
transitionprobs	10	12	0.0
transitionprobs	10	13	0.0
transitionprobs	10	14	1.7411618053101773E-5
